aX,aY,aZ,gX,gY,gZ
0.369,0.067,0.545,8.606,139.160,-58.167
0.380,0.024,0.420,8.789,145.386,-56.885
0.391,0.065,0.331,9.766,148.315,-52.551
0.425,-0.003,0.219,14.160,146.301,-51.208
0.438,-0.081,0.150,20.081,140.686,-50.537
0.496,-0.074,0.106,16.968,131.165,-48.340
0.526,-0.087,0.105,15.564,118.530,-48.218
0.561,-0.158,0.115,14.709,103.821,-51.453
0.571,-0.214,0.199,3.296,88.623,-54.199
0.577,-0.238,0.313,-14.893,76.843,-56.763
0.575,-0.241,0.427,-36.804,72.327,-59.509
0.553,-0.182,0.493,-57.800,76.599,-60.242
0.521,-0.073,0.507,-72.083,86.060,-59.326
0.523,0.023,0.479,-72.510,96.680,-59.143
0.541,0.080,0.397,-60.547,105.591,-58.228
0.614,0.091,0.294,-41.748,110.107,-57.190
0.613,0.071,0.199,-21.606,109.436,-58.044
0.644,0.057,0.124,-6.409,101.135,-57.922
0.628,-0.055,0.083,7.996,87.708,-60.913
0.632,-0.194,0.078,13.428,71.716,-62.622
0.693,-0.203,0.134,10.803,55.542,-61.218
0.662,-0.232,0.226,1.892,44.312,-61.768
0.608,-0.323,0.321,-13.489,38.574,-64.453
0.601,-0.369,0.391,-32.410,39.734,-64.941
0.620,-0.275,0.427,-55.664,48.279,-61.768
0.640,-0.149,0.396,-73.547,58.838,-59.204
0.646,-0.027,0.339,-80.811,68.665,-59.021
0.657,0.119,0.287,-76.416,74.097,-60.425
,,,,,
0.442,-1.450,-0.362,90.698,4.517,156.311
0.512,-0.859,-0.601,22.705,-7.324,180.481
0.516,-0.625,-0.581,-54.199,10.071,173.401
0.376,-0.994,-0.583,-9.888,6.592,149.475
0.450,-1.235,-0.710,36.987,-23.071,136.475
0.474,-1.099,-0.560,30.701,-49.561,144.958
0.486,-0.776,-0.415,12.451,-57.556,151.917
0.456,-0.712,-0.340,0.488,-57.800,147.705
0.400,-0.825,-0.307,2.258,-53.467,140.198
0.379,-0.867,-0.289,8.240,-51.575,137.573
0.396,-0.790,-0.291,-12.390,-47.241,140.686
0.447,-0.576,-0.306,-24.597,-41.687,143.738
0.412,-0.518,-0.338,-24.841,-38.208,138.916
0.500,-0.748,-0.440,-28.809,-36.926,129.883
0.366,-0.543,-0.492,-45.044,-34.729,133.606
0.161,-0.649,-0.445,-74.768,-22.400,128.967
0.268,-0.595,-0.414,-23.437,-41.260,128.479
0.382,-0.367,-0.431,14.893,-60.547,129.944
0.219,-0.488,-0.351,9.460,-74.585,130.432
0.090,-0.569,-0.299,13.306,-81.177,132.874
0.207,-0.454,-0.273,13.062,-80.261,137.756
0.171,-0.442,-0.321,3.723,-72.693,140.686
0.176,-0.376,-0.392,2.258,-69.397,140.076
0.186,-0.376,-0.505,4.028,-70.801,137.146
0.131,-0.397,-0.578,1.099,-78.186,135.742
0.051,-0.379,-0.637,-0.183,-88.501,135.254
0.003,-0.211,-0.611,-3.357,-102.905,137.329
-0.004,-0.040,-0.547,-2.563,-116.760,135.437
0.011,-0.002,-0.463,10.437,-128.784,127.808
0.021,-0.059,-0.407,29.297,-140.381,119.507
0.016,-0.130,-0.353,42.969,-152.405,114.685
-0.016,-0.150,-0.271,49.133,-160.767,114.441
-0.105,-0.186,-0.300,46.936,-162.292,115.662
-0.103,-0.138,-0.314,37.537,-158.081,117.981
-0.102,-0.208,-0.460,48.950,-155.579,117.737
-0.133,-0.395,-0.578,48.706,-159.729,120.056
-0.124,-0.353,-0.641,33.997,-166.931,128.479
-0.173,-0.178,-0.667,10.925,-174.622,136.963
-0.225,-0.033,-0.701,5.066,-184.021,137.024
-0.247,0.025,-0.747,17.090,-197.693,129.944
-0.364,-0.040,-0.812,26.550,-215.027,122.559
-0.442,-0.049,-0.818,29.053,-235.474,119.141
-0.467,0.052,-0.763,35.706,-256.042,119.019
-0.517,0.214,-0.616,40.222,-275.085,118.652
-0.582,0.312,-0.503,47.974,-292.786,115.051
-0.715,0.359,-0.370,62.073,-310.913,108.337
-0.692,0.347,-0.147,66.345,-331.299,104.370
-0.759,0.251,-0.021,78.064,-351.868,103.394
-0.972,0.358,0.262,68.481,-376.892,102.112
-1.203,0.643,0.772,43.396,-411.255,96.436
-1.571,0.841,1.432,21.851,-453.064,85.205
