aX,aY,aZ,gX,gY,gZ
0.125,-2.120,-1.901,-154.907,169.128,-50.293
0.166,-1.959,-1.938,-120.239,128.906,-33.630
0.254,-1.927,-1.966,-56.885,101.807,-22.522
0.201,-1.967,-1.980,-3.967,66.467,-12.939
0.233,-1.955,-2.009,52.429,29.846,-5.371
0.259,-1.931,-1.953,96.069,-9.460,9.644
0.345,-1.918,-1.722,126.160,-52.979,32.043
0.368,-1.694,-1.511,142.700,-96.375,55.603
0.271,-1.397,-1.361,154.541,-135.010,74.463
0.168,-1.234,-1.171,169.312,-169.800,85.571
0.269,-1.068,-0.888,179.504,-200.806,96.436
0.358,-0.902,-0.544,186.035,-222.534,104.858
0.290,-0.633,-0.200,187.012,-240.601,112.427
0.348,-0.416,0.337,186.340,-254.211,115.967
0.450,-0.132,0.864,189.453,-265.564,119.751
0.508,0.209,1.157,170.532,-269.287,124.634
0.649,0.376,1.614,133.179,-265.869,136.353
0.781,0.636,2.082,93.994,-250.183,148.560
0.832,0.864,2.367,28.992,-212.463,160.217
1.004,1.100,2.490,-39.124,-164.551,165.771
1.019,1.735,2.526,-90.332,-110.046,167.664
1.082,2.229,2.286,-117.065,-52.673,156.311
1.085,2.518,2.073,-115.112,0.854,128.540
1.284,2.590,1.846,-83.191,37.842,81.970
1.392,2.499,1.606,-36.377,57.007,28.381
1.382,2.151,1.389,-14.771,75.684,-22.949
1.330,1.737,1.092,11.902,83.557,-71.411
1.145,1.360,0.895,49.561,83.557,-114.258
0.927,0.975,0.778,73.914,86.731,-147.095
0.826,0.592,0.659,76.355,93.628,-168.518
0.725,0.263,0.526,72.815,98.022,-181.274
0.616,-0.080,0.401,53.223,104.919,-183.960
0.587,-0.381,0.245,21.912,115.845,-175.293
0.559,-0.650,0.174,-11.475,121.460,-157.410
0.582,-0.784,0.101,-52.795,122.559,-133.240
0.590,-0.843,-0.051,-97.778,122.131,-107.178
0.591,-0.842,-0.216,-133.301,119.751,-80.750
0.532,-0.788,-0.323,-147.400,112.488,-58.716
0.536,-0.741,-0.437,-151.306,103.882,-42.358
0.570,-0.692,-0.530,-141.907,93.750,-32.837
0.625,-0.647,-0.559,-119.812,81.238,-27.771
0.666,-0.595,-0.576,-95.032,69.397,-25.574
0.703,-0.568,-0.597,-71.045,58.472,-24.475
0.708,-0.597,-0.573,-45.105,45.654,-22.583
0.731,-0.623,-0.504,-21.729,32.532,-19.958
0.763,-0.627,-0.439,-4.517,20.508,-17.517
0.809,-0.622,-0.382,4.944,9.216,-14.343
0.843,-0.601,-0.325,6.836,-1.160,-8.789
0.856,-0.548,-0.272,4.272,-9.216,-2.319
0.872,-0.461,-0.258,-1.953,-13.977,4.517
0.891,-0.372,-0.218,-6.836,-17.517,10.742
0.911,-0.283,-0.166,-10.620,-19.958,14.832
0.922,-0.203,-0.125,-13.855,-21.301,17.212
0.940,-0.123,-0.087,-14.709,-21.973,17.761
0.959,-0.051,-0.047,-12.512,-22.339,16.296
0.986,-0.014,-0.007,-7.690,-22.583,12.878
