aX,aY,aZ,gX,gY,gZ
0.423,-0.414,0.744,10.132,9.460,-8.789
0.431,-0.419,0.732,13.367,8.728,-10.925
0.424,-0.458,0.728,16.174,7.202,-13.245
0.408,-0.476,0.717,15.381,6.165,-14.709
0.413,-0.483,0.712,13.550,5.310,-15.198
0.407,-0.495,0.703,9.094,4.456,-14.771
0.386,-0.532,0.708,2.075,3.845,-14.465
0.363,-0.537,0.716,-2.197,2.869,-13.367
0.365,-0.506,0.694,-10.132,3.540,-11.047
0.371,-0.481,0.697,-13.611,4.578,-9.705
0.373,-0.448,0.682,-11.963,5.188,-9.338
,,,,,
-0.921,-0.839,0.892,36.377,85.388,31.250
-0.902,-0.767,0.961,14.221,100.342,39.185
-0.941,-0.875,1.110,22.888,106.384,40.710
-1.039,-1.126,1.225,29.175,114.685,46.753
-0.927,-0.989,1.286,36.438,125.977,59.692
-1.045,-1.242,1.433,48.218,137.451,66.345
-1.010,-1.382,1.490,58.105,151.001,78.796
-0.928,-1.381,1.490,61.890,165.222,95.154
-0.913,-1.388,1.483,65.002,175.720,108.643
-0.874,-1.433,1.510,72.449,183.105,117.920
-0.744,-1.428,1.545,83.740,184.753,123.657
-0.693,-1.450,1.600,90.027,181.580,128.235
-0.464,-1.496,1.693,98.083,172.485,132.385
-0.187,-1.488,1.774,103.455,157.349,138.306
-0.033,-1.410,1.796,97.961,147.095,146.790
-0.014,-1.283,1.780,88.196,143.372,156.494
0.235,-1.443,1.827,83.313,139.954,161.560
0.513,-1.531,1.922,79.834,137.756,170.776
0.689,-1.528,1.821,65.857,144.714,183.777
0.833,-1.373,1.801,59.631,157.471,193.726
0.851,-1.037,1.608,52.368,170.044,206.421
0.767,-0.693,1.385,37.048,182.312,221.558
0.853,-0.293,1.241,33.081,194.519,231.384
0.570,-0.281,1.018,33.936,200.989,237.671
0.472,-0.094,0.702,15.198,208.130,247.375
0.252,-0.021,0.451,10.620,208.679,253.662
0.189,0.169,0.321,-0.977,210.876,260.132
0.224,0.489,0.099,-15.259,224.976,265.686
0.539,1.255,-0.770,-44.434,252.747,275.391
0.792,3.500,-1.311,-78.613,265.015,269.653
0.849,3.940,-0.838,-41.809,242.432,197.205
0.394,2.431,-1.012,46.753,208.740,84.167
-0.315,0.870,-1.402,48.279,164.612,0.366
-0.674,0.128,-1.472,-32.654,115.723,-32.959
-0.783,0.591,-1.201,-154.236,52.734,-39.551
-1.300,0.941,-0.280,-165.710,-19.531,-72.144
-1.635,-0.489,0.232,-97.778,-59.021,-134.399
-2.027,-1.538,0.330,-28.625,-59.082,-161.072
-2.519,-2.057,0.644,13.184,-58.411,-136.963
-2.711,-2.492,1.343,27.649,-55.969,-89.355
