aX,aY,aZ,gX,gY,gZ
0.901,0.354,-0.082,27.893,6.165,170.959
0.932,0.579,-0.024,31.738,-21.423,168.091
0.964,0.764,0.254,41.382,-51.392,165.161
1.000,0.784,0.703,53.223,-72.510,159.302
0.982,0.895,1.112,64.514,-73.914,153.748
0.989,1.035,1.369,87.097,-52.490,144.409
1.019,1.200,1.279,110.779,-15.564,130.249
1.015,1.190,1.026,152.039,17.761,110.962
1.003,0.998,0.735,175.842,34.790,93.445
1.000,0.858,0.608,183.411,33.997,82.825
1.029,0.789,0.642,178.833,25.513,77.148
1.062,0.714,0.814,157.776,19.531,75.623
1.107,0.751,0.947,134.888,22.095,77.209
1.143,1.005,0.932,122.742,33.752,78.918
1.259,1.093,0.751,124.573,50.598,69.885
1.326,1.034,0.463,133.789,59.509,43.823
1.082,0.821,0.364,120.300,50.171,4.700
0.733,0.434,0.390,100.037,25.757,-34.912
0.797,0.221,0.544,44.861,6.592,-44.556
1.076,0.174,0.648,4.150,1.892,-32.654
1.113,0.072,0.679,8.423,6.897,-21.851
0.992,-0.075,0.616,17.700,16.174,-16.968
0.898,-0.078,0.448,2.319,23.743,-12.268
0.926,-0.041,0.301,-25.940,23.804,-8.667
0.912,0.028,0.269,-37.415,15.747,-6.592
0.896,0.072,0.321,-26.733,6.714,-5.005
0.911,0.108,0.393,-28.015,0.427,-1.587
0.917,0.109,0.449,-25.208,-3.418,-1.343
0.881,0.019,0.457,-13.672,-5.005,-5.798
0.849,-0.092,0.438,-7.141,-5.798,-10.498
0.844,-0.154,0.422,-16.418,-6.409,-10.925
0.857,-0.197,0.443,-23.865,-8.362,-10.254
0.842,-0.216,0.471,-20.325,-8.911,-10.498
0.836,-0.247,0.492,-16.785,-6.958,-10.986
0.871,-0.302,0.488,-13.428,-3.784,-10.132
0.847,-0.308,0.445,-5.920,-0.916,-7.507
0.820,-0.274,0.399,5.310,-0.061,-5.676
0.820,-0.294,0.369,14.648,-1.953,-4.578
0.822,-0.355,0.392,22.949,-6.531,-3.296
0.832,-0.352,0.455,26.611,-10.681,-0.061
0.847,-0.266,0.526,26.611,-12.878,3.784
0.861,-0.217,0.563,23.987,-11.414,5.127
0.851,-0.243,0.561,25.146,-7.935,2.869
0.838,-0.261,0.531,20.569,-4.517,1.160
0.832,-0.232,0.525,5.432,-3.662,1.404
0.829,-0.225,0.540,-6.104,-4.822,0.183
0.824,-0.215,0.560,-13.428,-5.798,-1.526
0.799,-0.197,0.573,-17.578,-4.761,-2.502
0.792,-0.209,0.561,-18.066,-1.648,-2.930
0.812,-0.190,0.530,-18.677,1.221,-2.563
0.840,-0.141,0.510,-17.456,1.404,-2.747
0.822,-0.162,0.503,-13.794,-0.549,-4.761
0.797,-0.213,0.510,-7.324,-1.709,-7.568
0.786,-0.228,0.507,-0.610,-1.831,-7.446
0.780,-0.235,0.502,2.258,-0.732,-5.676
0.780,-0.215,0.482,4.333,0.549,-4.333
0.793,-0.188,0.463,7.019,1.770,-4.639
0.848,-0.208,0.441,10.742,1.160,-5.127
0.750,-0.340,0.469,14.160,-0.793,-6.409
0.822,-0.472,0.510,12.695,-2.075,-3.845
0.846,-0.372,0.568,-0.549,0.488,4.395
0.837,-0.224,0.549,-12.573,4.089,9.644
0.840,-0.080,0.466,-16.418,8.301,11.047
0.816,-0.101,0.387,-7.507,7.385,6.165
0.813,-0.169,0.387,6.592,1.831,1.648
0.814,-0.130,0.440,7.568,-2.502,3.113
0.806,-0.092,0.527,7.690,-4.211,4.333
0.808,-0.117,0.582,14.893,-1.953,2.319
0.837,-0.174,0.564,23.926,3.174,-0.305
0.813,-0.247,0.507,27.649,6.897,-2.075
0.834,-0.310,0.442,22.278,7.812,-2.319
0.803,-0.287,0.421,13.184,5.005,-1.099
0.822,-0.286,0.448,2.502,1.099,0.122
0.833,-0.235,0.494,-7.690,-1.892,2.380
0.824,-0.141,0.518,-9.888,-1.831,3.967
0.836,-0.163,0.493,-3.723,-0.244,1.343
0.833,-0.254,0.472,5.127,-0.488,-2.441
,,,,,
1.336,1.429,0.460,7.202,-25.635,-15.991
1.598,2.028,0.441,5.493,-29.846,-19.470
1.846,2.744,0.378,-3.113,-31.799,-23.743
2.057,3.316,0.369,-4.089,-39.978,-34.973
2.229,3.483,0.501,2.502,-55.115,-55.237
2.196,3.295,0.885,-19.470,-74.524,-78.979
2.110,3.285,1.292,-89.844,-86.182,-98.755
1.974,3.599,1.430,-157.654,-82.336,-127.869
